,context,question,answer
140,"The dominant land plant species of the time were gymnosperms, which are vascular, cone-bearing, non-flowering plants such as conifers that produce seeds without a coating. This is opposed to the earth's current flora, in which the dominant land plants in terms of number of species are angiosperms. One particular plant genus, Ginkgo, is thought to have evolved at this time and is represented today by a single species, Ginkgo biloba. As well, the extant genus Sequoia is believed to have evolved in the Mesozoic.","['What was the dominant plant species of the Mesozoic?', 'What is an example of a gymnosperm?', 'What are the dominate plant species on Earth now?', 'When did the Ginkgo evolve?', 'What famous tree species is believed to have evolved during the Mesozoic?']","['gymnosperms', 'conifers', 'angiosperms', 'Mesozoic', 'Sequoia']"
141,"The U.S. Social Security Administration (SSA), which oversees the world's largest administrative judicial system under its Office of Disability Adjudication and Review (ODAR), has made extensive use of videoconferencing to conduct hearings at remote locations. In Fiscal Year (FY) 2009, the U.S. Social Security Administration (SSA) conducted 86,320 videoconferenced hearings, a 55% increase over FY 2008. In August 2010, the SSA opened its fifth and largest videoconferencing-only National Hearing Center (NHC), in St. Louis, Missouri. This continues the SSA's effort to use video hearings as a means to clear its substantial hearing backlog. Since 2007, the SSA has also established NHCs in Albuquerque, New Mexico, Baltimore, Maryland, Falls Church, Virginia, and Chicago, Illinois.","[""Who has the world's largest administrative judicial system?"", ""What US Department oversees the World's largest administrative judicial system?"", 'In what year did the SSA see a 55% increase in videoconferenced hearings?', 'When did the SSA open its largest videoconferencing-only center?', ""Where is the SSA's fifth videoconferencing only center located?""]","['U.S.', 'Social Security Administration (SSA)', '2009', 'August 2010', 'St. Louis, Missouri']"
142,"The Gregorian calendar improves the approximation made by the Julian calendar by skipping three Julian leap days in every 400 years, giving an average year of 365.2425 mean solar days long. This approximation has an error of about one day per 3,300 years with respect to the mean tropical year. However, because of the precession of the equinoxes, the error with respect to the vernal equinox (which occurs, on average, 365.24237 days apart near 2000) is 1 day every 7,700 years, assuming a constant time interval between vernal equinoxes, which is not true. By any criterion, the Gregorian calendar is substantially more accurate than the 1 day in 128 years error of the Julian calendar (average year 365.25 days).","['The Gregorian calendar is an improvement over what other calendar?', 'How many days must be skipped to align the calendar with mean solar days in a year?', 'What is the approximate error for every 3,300 years?', 'What is the error rate of the vernal equinox per every 7,700 years?', 'What was the error rate in the Julian calendar?']","['Julian', 'three Julian leap days', 'one day', '1 day', '1 day in 128 years']"
143,"On May 26, 2009, Microsoft announced the future release of the Zune HD (in the fall of 2009), the next addition to the Zune product range. This is of an impact on the Xbox Live Video Store as it was also announced that the Zune Video Marketplace and the Xbox Live Video Store will be merged to form the Zune Marketplace, which will be arriving on Xbox Live in 7 countries initially, the United Kingdom, the United States, France, Italy, Germany, Ireland and Spain. Further details were released at the Microsoft press conference at E3 2009.","['What hardware device was merged with the video marketplace?', 'Where and when was the Zune HD marketplace announced?', 'The Zune video marketplace was merged with what Live feature?', 'What was the new name of this Live video store?', 'How many countries were slated for the Zune Marketplace launch?']","['the Zune', 'E3 2009', 'Xbox Live Video Store', 'Zune Marketplace', '7']"
144,"With the emergence of ISIL and its capture of large areas of Iraq and Syria, a number of crises resulted that sparked international attention. ISIL had perpetrated sectarian killings and war crimes in both Iraq and Syria. Gains made in the Iraq war were rolled back as Iraqi army units abandoned their posts. Cities were taken over by the terrorist group which enforced its brand of Sharia law. The kidnapping and decapitation of numerous Western journalists and aid-workers also garnered interest and outrage among Western powers. The US intervened with airstrikes in Iraq over ISIL held territories and assets in August, and in September a coalition of US and Middle Eastern powers initiated a bombing campaign in Syria aimed at degrading and destroying ISIL and Al-Nusra-held territory.","['What organization captured significant segments of Iraq and Syria?', 'What legal ethos does ISIL operate under?', 'What actions did ISIL take against Western journalists and aid workers?', 'How did the US intervene against ISIL?', 'What was the goal of US and coalition airstrikes in Syria?']","['ISIL', 'Sharia law', 'kidnapping and decapitation', 'airstrikes in Iraq over ISIL held territories', 'degrading and destroying ISIL and Al-Nusra-held territory']"
145,"A few hard rock bands from the 1970s and 1980s managed to sustain highly successful recording careers. Bon Jovi were still able to achieve a commercial hit with ""It's My Life"" from their double platinum-certified album Crush (2000). and AC/DC released the platinum-certified Stiff Upper Lip (2000) Aerosmith released a number two platinum album, Just Push Play (2001), which saw the band foray further into pop with the Top 10 hit ""Jaded"", and a blues cover album, Honkin' on Bobo, which reached number five in 2004. Heart achieved their first Top 10 album since the early 90s with Red Velvet Car in 2010, becoming the first female-led hard rock band to earn Top 10 albums spanning five decades. There were reunions and subsequent tours from Van Halen (with Hagar in 2004 and then Roth in 2007), The Who (delayed in 2002 by the death of bassist John Entwistle until 2006) and Black Sabbath (with Osbourne 1997–2006 and Dio 2006–2010) and even a one off performance by Led Zeppelin (2007), renewing the interest in previous eras. Additionally, hard rock supergroups, such as Audioslave (with former members of Rage Against the Machine and Soundgarden) and Velvet Revolver (with former members of Guns N' Roses, punk band Wasted Youth and Stone Temple Pilots singer Scott Weiland), emerged and experienced some success. However, these bands were short-lived, ending in 2007 and 2008, respectively. The long awaited Guns N' Roses album Chinese Democracy was finally released in 2008, but only went platinum and failed to come close to the success of the band's late 1980s and early 1990s material. More successfully, AC/DC released the double platinum-certified Black Ice (2008). Bon Jovi continued to enjoy success, branching into country music with ""Who Says You Can't Go Home"", which reached number one on the Hot Country Singles chart in 2006, and the rock/country album Lost Highway, which reached number one in 2007. In 2009, Bon Jovi released another number one album, The Circle, which marked a return to their hard rock sound.","['What hard rock supergroup contained members of Soundgarden and Rage Against the Machine?', ""What was the title of Bon Jovi's 2000 hit single?"", 'What band released an album called Stiff Upper Lip in 2000?', 'Who was the lead singer of Stone Temple Pilots?', 'What was Guns N Roses long delayed 2008 album called?']","['Audioslave', '""It\'s My Life""', 'AC/DC', 'Scott Weiland', 'Chinese Democracy']"
146,"To allow for agricultural development of the Great Plains and house a growing population, the US passed the Homestead Acts of 1862: it allowed a settler to claim up to 160 acres (65 ha) of land, provided that he lived on it for a period of five years and cultivated it. The provisions were expanded under the Kinkaid Act of 1904 to include a homestead of an entire section. Hundreds of thousands of people claimed such homesteads, sometimes building sod houses out of the very turf of their land. Many of them were not skilled dryland farmers and failures were frequent. Much of the Plains were settled during relatively wet years. Government experts did not understand how farmers should cultivate the prairies and gave advice counter to what would have worked[citation needed]. Germans from Russia who had previously farmed, under similar circumstances, in what is now Ukraine were marginally more successful than other homesteaders. The Dominion Lands Act of 1871 served a similar function for establishing homesteads on the prairies in Canada.","['when did the US pass the Homestead ACt?', 'how much land did the Homestead Act allow a person to claim?', 'how long did the person have to live on the land?', 'when was the Kinkaid Act brought about? ', 'the dominion act was passed in what year']","['1862', 'up to 160 acres', 'five years', '1904', '1871']"
147,"Earth's surface and the clouds absorb visible and invisible radiation from the sun and re-emit much of the energy as infrared back to atmosphere. Certain substances in the atmosphere, chiefly cloud droplets and water vapor, but also carbon dioxide, methane, nitrous oxide, sulfur hexafluoride, and chlorofluorocarbons, absorb this infrared, and re-radiate it in all directions including back to Earth. Thus, the greenhouse effect keeps the atmosphere and surface much warmer than if the infrared absorbers were absent from the atmosphere.","['Along with the surface of the Earth, what objects absorb radiation from the sun?', ""After Earth surface's absorbs radiation, in what spectrum is much of it re-emitted?"", 'Along with water vapor, what atmospheric substance primarily absorbs the infrared emitted by the Earth?', 'What notable warming effect does the presence of infrared absorbers contribute to?']","['clouds', 'infrared', 'cloud droplets', 'greenhouse']"
148,"In agriculture and animal husbandry, the Green Revolution popularized the use of conventional hybridization to increase yield. Often hybridized breeds originated in developed countries and were further hybridized with local varieties in the developing world to create high yield strains resistant to local climate and diseases. Local governments and industry have been pushing hybridization. Formerly huge gene pools of various wild and indigenous breeds have collapsed causing widespread genetic erosion and genetic pollution. This has resulted in loss of genetic diversity and biodiversity as a whole.","['What popularized the use of conventional hybridization to increase yield?', 'What did the high yield strains become resistant to?', 'Who has been pushing for hybridization?', 'What caused the loss of biodiversity?']","['the Green Revolution', 'local climate and diseases', 'Local governments and industry', 'Formerly huge gene pools of various wild and indigenous breeds have collapsed causing widespread genetic erosion']"
149,"Unfortunately, requiring two characters to mark the end of a line introduces unnecessary complexity and questions as to how to interpret each character when encountered alone. To simplify matters plain text data streams, including files, on Multics used line feed (LF) alone as a line terminator. Unix and Unix-like systems, and Amiga systems, adopted this convention from Multics. The original Macintosh OS, Apple DOS, and ProDOS, on the other hand, used carriage return (CR) alone as a line terminator; however, since Apple replaced these operating systems with the Unix-based OS X operating system, they now use line feed (LF) as well.","['Why is adding two characters at the ned of a line problemsome? ', 'What id Multics use to simplify plain text data?', 'What used carriage return(CR) alone as a line terminator?', 'Who adopted this practice from Multics?', 'When did Apple replace their CR with line feed (LF)?']","['introduces unnecessary complexity and questions as to how to interpret each character when encountered alone', 'line feed (LF) alone as a line terminator', 'Macintosh OS, Apple DOS, and ProDOS', 'Unix and Unix-like systems, and Amiga systems', 'since Apple replaced these operating systems with the Unix-based OS X operating system']"
150,"Protein digestion occurs in the stomach and duodenum in which 3 main enzymes, pepsin secreted by the stomach and trypsin and chymotrypsin secreted by the pancreas, break down food proteins into polypeptides that are then broken down by various exopeptidases and dipeptidases into amino acids. The digestive enzymes however are mostly secreted as their inactive precursors, the zymogens. For example, trypsin is secreted by pancreas in the form of trypsinogen, which is activated in the duodenum by enterokinase to form trypsin. Trypsin then cleaves proteins to smaller polypeptides.","['Where does protein digestion occur?', 'What are the three main enzymes that break down food?', 'What are digestive enzymes mostly secreted as?', 'What are dipeptidases broken down into?', 'What organ secretes chymotrypsin?']","['in the stomach and duodenum', 'pepsin secreted by the stomach and trypsin and chymotrypsin', 'inactive precursors, the zymogens', 'amino acids', 'the pancreas']"
151,"In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination.[citation needed] Puerto Rico Governor Aníbal Acevedo Vilá criticized the FBI assault as ""improper"" and ""highly irregular"" and demanded to know why his government was not informed of it. The FBI refused to release information beyond the official press release, citing security and agent privacy issues. The Puerto Rico Justice Department filed suit in federal court against the FBI and the US Attorney General, demanding information crucial to the Commonwealth's own investigation of the incident. The case was dismissed by the U.S Supreme Court. Ojeda Rios' funeral was attended by a long list of dignitaries, including the highest authority of the Roman Catholic Church in Puerto Rico, Archbishop Roberto Octavio González Nieves, ex-Governor Rafael Hernández Colón, and numerous other personalities.","['When did Puerto Rican Nationalist Filiberto Ojeda Ríos die?', 'Who killed Filiberto Ojeda Ríos?', ""How did some people describe Filiberto Ojeda Ríos's death?"", 'How did the FBI respond to requests to release information beyond the initial press release?', ""What US court dismissed the Puerto Rican case for information crucial to their own investigation of Filiberto Ojeda Ríos's killing?""]","['2005', 'FBI agents', 'assassination', 'The FBI refused', 'Supreme Court']"
152,"The age of consent to sexual activity varies widely between jurisdictions, ranging from 12 to 20 years, as does the age at which people are allowed to marry. Specific legal ages for adolescents that also vary by culture are enlisting in the military, gambling, and the purchase of alcohol, cigarettes or items with parental advisory labels. It should be noted that the legal coming of age often does not correspond with the sudden realization of autonomy; many adolescents who have legally reached adult age are still dependent on their guardians or peers for emotional and financial support. Nonetheless, new legal privileges converge with shifting social expectations to usher in a phase of heightened independence or social responsibility for most legal adolescents.","['What is the range of consentual age variance between jurisdictions?', 'Is the age that peope are allowed to marry universally decided upon?', 'What are other areas in which legal societal age varies?']","['12 to 20 years', 'No', 'enlisting in the military, gambling, and the purchase of alcohol, cigarettes or items with parental advisory labels']"
153,"Researchers include biologists, geologists, oceanographers, physicists, astronomers, glaciologists, and meteorologists. Geologists tend to study plate tectonics, meteorites from outer space, and resources from the breakup of the supercontinent Gondwana. Glaciologists in Antarctica are concerned with the study of the history and dynamics of floating ice, seasonal snow, glaciers, and ice sheets. Biologists, in addition to examining the wildlife, are interested in how harsh temperatures and the presence of people affect adaptation and survival strategies in a wide variety of organisms. Medical physicians have made discoveries concerning the spreading of viruses and the body's response to extreme seasonal temperatures. Astrophysicists at Amundsen–Scott South Pole Station study the celestial dome and cosmic microwave background radiation. Many astronomical observations are better made from the interior of Antarctica than from most surface locations because of the high elevation, which results in a thin atmosphere; low temperature, which minimizes the amount of water vapour in the atmosphere; and absence of light pollution, thus allowing for a view of space clearer than anywhere else on Earth. Antarctic ice serves as both the shield and the detection medium for the largest neutrino telescope in the world, built 2 km (1.2 mi) below Amundsen–Scott station.","['What group of scientists study tectonics?', 'Who is interested in the effects of harsh environment on humans?', 'Which science is concerned with the study of the dynamics of ice?', 'What kind of observations use  the high elevations and thin atmosphere for viewing space?', 'Where is the largest neutrino telescope on Earth?']","['Geologists', 'Biologists', 'Glaciologists', 'astronomical', 'Amundsen–Scott station.']"
154,"The issue of the parentage of Jesus in the Talmud affects also the view of his mother. However the Talmud does not mention Mary by name and is considerate rather than only polemic. The story about Panthera is also found in the Toledot Yeshu, the literary origins of which can not be traced with any certainty and given that it is unlikely to go before the 4th century, it is far too late to include authentic remembrances of Jesus. The Blackwell Companion to Jesus states that the Toledot Yeshu has no historical facts as such, and was perhaps created as a tool for warding off conversions to Christianity. The name Panthera may be a distortion of the term parthenos (virgin) and Raymond E. Brown considers the story of Panthera a fanciful explanation of the birth of Jesus which includes very little historical evidence. Robert Van Voorst states that given that Toledot Yeshu is a medieval document and due to its lack of a fixed form and orientation towards a popular audience, it is ""most unlikely"" to have reliable historical information.","['Where in Jewish literature is the story about Panthera found?', 'According to the Blackwell Companion to Jesus, for what purpose was the Toledot Yeshu written?', 'What is the meaning of the term ""parthenos?""', 'During what historical period was the Toledot Yeshu written?', 'What event does Raymond E. Brown believe the Toledot Yeshu describes?']","['the Toledot Yeshu', 'warding off conversions to Christianity', 'virgin', 'medieval', 'the birth of Jesus']"
155,"Melbourne has the largest tram network in the world which had its origins in the city's 1880s land boom. In 2013–2014, 176.9 million passenger trips were made by tram. Melbourne's is Australia's only tram network to comprise more than a single line and consists of 250 km (155.3 mi) of track, 487 trams, 25 routes, and 1,763 tram stops. Around 80 per cent of Melbourne's tram network shares road space with other vehicles, while the rest of the network is separated or are light rail routes. Melbourne's trams are recognised as iconic cultural assets and a tourist attraction. Heritage trams operate on the free City Circle route, intended for visitors to Melbourne, and heritage restaurant trams travel through the city and surrounding areas during the evening. Melbourne is currently building 50 new E Class trams with some already in service in 2014. The E Class trams are about 30 metres long and are superior to the C2 class tram of similar length. Melbourne's bus network consists of almost 300 routes which mainly service the outer suburbs and fill the gaps in the network between rail and tram services. 127.6 million passenger trips were recorded on Melbourne's buses in 2013–2014, an increase of 10.2 percent on the previous year.","[""What are the origins of Melbourne's tram network?"", 'How many passenger trips were made by tram in Melbourne between 2013-2014?', ""How many tram stops are on Melbourne's tram network?"", ""How many routes does Melbourne's bus network consist of?"", ""How many passenger trips were recorded on Melbourne's buses in 2013-2014""]","[""the city's 1880s land boom"", '176.9 million', '1,763', 'almost 300', '127.6 million']"
156,"Most historians today, including John's recent biographers Ralph Turner and Lewis Warren, argue that John was an unsuccessful monarch, but note that his failings were exaggerated by 12th- and 13th-century chroniclers. Jim Bradbury notes the current consensus that John was a ""hard-working administrator, an able man, an able general"", albeit, as Turner suggests, with ""distasteful, even dangerous personality traits"", including pettiness, spitefulness and cruelty. John Gillingham, author of a major biography of Richard I, follows this line too, although he considers John a less effective general than do Turner or Warren, and describes him ""one of the worst kings ever to rule England"". Bradbury takes a moderate line, but suggests that in recent years modern historians have been overly lenient towards John's numerous faults. Popular historian Frank McLynn maintains a counter-revisionist perspective on John, arguing that the king's modern reputation amongst historians is ""bizarre"", and that as a monarch John ""fails almost all those [tests] that can be legitimately set"".","['What biographers argue that John was an unsuccessful monarch?', 'Modern historians have been over lenient towards what?', 'John Gillingham considers John what?']","['Ralph Turner and Lewis Warren', ""John's numerous faults"", 'a less effective general']"
157,"Although the PC market declined, Apple still managed to ship 2.8 million MacBooks in Q2 2012 (the majority of which are the MacBook Air) compared to 500,000 total Ultrabooks, although there were dozens of Ultrabooks from various manufacturers on the market while Apple only offered 11-inch and 13-inch models of the MacBook Air. The Air has been the best-selling ultra-portable in certain countries over Windows Ultrabooks, particularly the United States. While several Ultrabooks were able to claim individual distinctions such as being the lightest or thinnest, the Air was regarded by reviewers as the best all-around subnotebook/ultraportable in regard to ""OS X experience, full keyboard, superior trackpad, Thunderbolt connector and the higher-quality, all-aluminum unibody construction"". The Air was among the first to receive Intel's latest CPUs before other PC manufacturers, and OS X has gained market share on Windows in recent years. Through July 1, 2013, the MacBook Air took in 56 percent of all Ultrabook sales in the United States, although being one of the higher-priced competitors, though several Ultrabooks with better features were often more expensive than the MacBook Air. The competitive pricing of MacBooks was particularly effective when rivals charged more for seemingly equivalent Ultrabooks, as this contradicted the established ""elitist aura"" perception that Apple products cost more but were higher quality, which made these most expensive Ultrabooks seem exorbitant no matter how valid their higher prices were.","['What has been the best-selling ultra-portable over Windows Ultrabooks in the U.S.?', 'What earned the title as best all-around subnotebook/ultraportable?', 'What did the Air receive before other PC manufacturers?', 'Through 7/1/13, what percentage of all Ultrabook sales in the U.S. were MacBook Airs?', 'When was the competetive pricing of MacBooks especially effective?']","['MacBook Air', 'MacBook Air', ""Intel's latest CPUs"", '56', 'when rivals charged more for seemingly equivalent Ultrabooks']"
158,"However, as stealth technology grows, so does anti-stealth technology. Multiple transmitter radars such as those from bistatic radars and low-frequency radars are said to have the capabilities to detect stealth aircraft. Advanced forms of thermographic cameras such as those that incorporate QWIPs would be able to optically see a Stealth aircraft regardless of the aircraft's RCS. In addition, Side looking radars, High-powered optical satellites, and sky-scanning, high-aperture, high sensitivity radars such as radio telescopes, would all be able to narrow down the location of a stealth aircraft under certain parameters. The newest SAM's have a claimed ability to be able to detect and engage stealth targets, with the most notable being the S-400, which is claimed to be able to detect a target with a 0.05 meter squared RCS from 90 km away.","['What continues to grow along with stealth technology?', 'What can detect stealth aircraft?', 'What can see stealth aircraft even with RCS?', 'What is the most notable SAM that can detect a stealth target?', 'How far away can the S-400 detect a target?']","['anti-stealth technology', 'Multiple transmitter radars', 'Advanced forms of thermographic cameras', 'the S-400', '90 km away']"
159,"Satyagraha, an opera by Philip Glass, uses texts from the Bhagavad Gita, sung in Sanskrit. The closing credits of The Matrix Revolutions has a prayer from the Brihadaranyaka Upanishad. The song ""Cyber-raga"" from Madonna's album Music includes Sanskrit chants, and Shanti/Ashtangi from her 1998 album Ray of Light, which won a Grammy, is the ashtanga vinyasa yoga chant. The lyrics include the mantra Om shanti. Composer John Williams featured choirs singing in Sanskrit for Indiana Jones and the Temple of Doom and in Star Wars: Episode I – The Phantom Menace. The theme song of Battlestar Galactica 2004 is the Gayatri Mantra, taken from the Rigveda. The lyrics of ""The Child In Us"" by Enigma also contains Sanskrit verses.[better source needed].","['Who wrote an opera in Sanskrit?', 'On what was the Philip Glass opera based?', 'Which well known performer has used Sanskrit chants in her music?', 'Which composer featured Sanskrit music in his movies?', 'What is the source of the theme song of Battlestar Galactica?']","['Philip Glass', 'Bhagavad Gita', 'Madonna', 'John Williams', 'Rigveda']"
160,"Once a year between 2008–2012 the European Formula One Grand Prix took place in the Valencia Street Circuit. Valencia is among with Barcelona, Porto and Monte Carlo the only European cities ever to host Formula One World Championship Grands Prix on public roads in the middle of cities. The final race in 2012 European Grand Prix saw an extremely popular winner, since home driver Fernando Alonso won for Ferrari in spite of starting halfway down the field. The Valencian Community motorcycle Grand Prix (Gran Premi de la Comunitat Valenciana de motociclisme) is part of the Grand Prix motorcycle racing season at the Circuit Ricardo Tormo (also known as Circuit de Valencia). Periodically the Spanish round of the Deutsche Tourenwagen Masters touring car racing Championship (DTM) is held in Valencia.","['Who won the last race of the European Grand Prix in 2012?', 'What motorcycle event is held in Valencia?', 'In which years was the European Formula One Grand Prix in Valencia?', 'What is another name for the Circuit Recardo Tormo?']","['Fernando Alonso', 'Valencian Community motorcycle Grand Prix', '2008–2012', 'Circuit de Valencia']"
161,"In 1983, New York State Attorney General Robert Abrams filed suit in the United States District Court for the Northern District of New York to compel GE to pay for the cleanup of what was claimed to be more than 100,000 tons of chemicals dumped from their plant in Waterford, New York. In 1999, the company agreed to pay a $250 million settlement in connection with claims it polluted the Housatonic River (Pittsfield, Massachusetts) and other sites with polychlorinated biphenyls (PCBs) and other hazardous substances.","['Which New York State Attorney General filed suit in US District Court to force GE to pay for the cleanup of chemicals dumped by their plant in Waterford, NY?', 'How much did GE agree to pay in claims for the pollution it caused in the Housatonic River and other sites?', ""How many tons of PCBs were claimed to have been dumped by GE's Waterford Plant in the 1983 lawsuit?"", ""In which year was a settlement reached regarding GE's pollution of the Housatonic River?"", 'What was the location of the pollution caused by GE in the Housatonic River?']","['Robert Abrams', '$250 million', 'more than 100,000', '1999', 'Pittsfield, Massachusetts']"
162,"The army's most common vehicle is the High Mobility Multipurpose Wheeled Vehicle (HMMWV), commonly called the Humvee, which is capable of serving as a cargo/troop carrier, weapons platform, and ambulance, among many other roles. While they operate a wide variety of combat support vehicles, one of the most common types centers on the family of HEMTT vehicles. The M1A2 Abrams is the army's main battle tank, while the M2A3 Bradley is the standard infantry fighting vehicle. Other vehicles include the Stryker, and the M113 armored personnel carrier, and multiple types of Mine Resistant Ambush Protected (MRAP) vehicles.","['What does HMMWV stand for?', 'What is the HMMWV also known as?', 'The M1A2 Abrams is an example of what?', 'What does MRAP stand for?']","['High Mobility Multipurpose Wheeled Vehicle', 'Humvee', 'battle tank', 'Mine Resistant Ambush Protected']"
163,"The creation of a unified German Empire ended the balance of power that had been created with the Congress of Vienna after the end of the Napoleonic Wars. Germany had established itself as the main power in continental Europe with the most powerful and professional army in the world.[citation needed] Although Great Britain remained the dominant world power, British involvement in European affairs during the late 19th century was very limited, allowing Germany to exercise great influence over the European mainland.[citation needed] Besides, the Crown Prince's marriage with the daughter of Queen Victoria was only the most prominent of several German–British relationships.","['A unified German Empire ended the balance of power in which congress?', 'At the end of the Napoleonic wars, Germany had established itself as what, in continental Europe?', 'Who remained the dominant world power at this time?', 'British involvement in European matters in the late 19th century was considered what?', ""The Crown Prince's marriage to whom was considered the most prominent of German-British royal liasons?""]","['Congress of Vienna', 'the main power', 'Great Britain', 'very limited', 'the daughter of Queen Victoria']"
164,"A typical traditional Eritrean dish consists of injera accompanied by a spicy stew, which frequently includes beef, kid, lamb or fish. Overall, Eritrean cuisine strongly resembles those of neighboring Ethiopia, Eritrean cooking tend to feature more seafood than Ethiopian cuisine on account of their coastal location. Eritrean dishes are also frequently ""lighter"" in texture than Ethiopian meals. They likewise tend to employ less seasoned butter and spices and more tomatoes, as in the tsebhi dorho delicacy.","['What meat does a traditional Eritrean stew consist of?', 'Which neighbor does Eritrean cuisine strongly resemble?', 'Why does Eritrean cooking tend to feature more seafood than Ethiopian cuisine?', 'How does the texture of Eritrean dishes compare to Ethiopian meals?', 'What ingredients fo Eritreans tend to use less of than Ethiopians?']","['beef, kid, lamb or fish', 'Ethiopia', 'their coastal location', 'lighter', 'seasoned butter and spices']"
165,"Most ingested uranium is excreted during digestion. Only 0.5% is absorbed when insoluble forms of uranium, such as its oxide, are ingested, whereas absorption of the more soluble uranyl ion can be up to 5%. However, soluble uranium compounds tend to quickly pass through the body, whereas insoluble uranium compounds, especially when inhaled by way of dust into the lungs, pose a more serious exposure hazard. After entering the bloodstream, the absorbed uranium tends to bioaccumulate and stay for many years in bone tissue because of uranium's affinity for phosphates. Uranium is not absorbed through the skin, and alpha particles released by uranium cannot penetrate the skin.","['What happens to a majority of ingested uranium?', 'Up to what percentage of uranyl ion can be absorbed when ingested?', 'About what percentage of uranium oxide is absorbed when ingested?', 'What does uranium have an affinity for?', 'Where does uranium accumulate in the body?']","['excreted', '5%', '0.5%', 'phosphates', 'bone tissue']"
166,"Members of all classes of the Order are assigned positions in the order of precedence. Wives of male members of all classes also feature on the order of precedence, as do sons, daughters and daughters-in-law of Knights Grand Cross and Knights Commander; relatives of Ladies of the Order, however, are not assigned any special precedence. As a general rule, individuals can derive precedence from their fathers or husbands, but not from their mothers or wives (see order of precedence in England and Wales for the exact positions).","['What are the Members of classes of the Order assigned to?', 'Who of the male members feature on the order?', 'Who are not assigned any special precedence?', 'Who can individuals derive precedence from?', 'Who can individuals can not derive precedence from?']","['positions in the order of precedence', 'Wives of male members of all classes also feature on the order of precedence, as do sons, daughters and daughters-in-law', 'relatives of Ladies of the Order', 'fathers or husbands', 'mothers or wives']"
167,"One of the most important developments that the Enlightenment era brought to the discipline of science was its popularization. An increasingly literate population seeking knowledge and education in both the arts and the sciences drove the expansion of print culture and the dissemination of scientific learning. The new literate population was due to a high rise in the availability of food. This enabled many people to rise out of poverty, and instead of paying more for food, they had money for education. Popularization was generally part of an overarching Enlightenment ideal that endeavoured ""to make information available to the greatest number of people."" As public interest in natural philosophy grew during the 18th century, public lecture courses and the publication of popular texts opened up new roads to money and fame for amateurs and scientists who remained on the periphery of universities and academies. More formal works included explanations of scientific theories for individuals lacking the educational background to comprehend the original scientific text. Sir Isaac Newton's celebrated Philosophiae Naturalis Principia Mathematica was published in Latin and remained inaccessible to readers without education in the classics until Enlightenment writers began to translate and analyze the text in the vernacular.","['What caused an increasingly literate population to develop in the Enlightenment era?', 'Instead of paying more for food, on what did people spend their money?', 'Which ideal endeavoured to make information available to the greatest number of people?', 'Who wrote the celebrated Philosophiae Naturalis Principia Mathematica?', 'Which work of Isaac Newton was published in Latin and remained inaccessible to readers without education until Enlightenment writers began to translate and analyze it in the vernacular?']","['a high rise in the availability of food', 'education', 'Popularization', 'Sir Isaac Newton', 'Philosophiae Naturalis Principia Mathematica']"
168,"More-or-less independent circadian rhythms are found in many organs and cells in the body outside the suprachiasmatic nuclei (SCN), the ""master clock"". These clocks, called peripheral oscillators, are found in the adrenal gland,[citation needed] oesophagus, lungs, liver, pancreas, spleen, thymus, and skin.[citation needed] Though oscillators in the skin respond to light, a systemic influence has not been proven. There is also some evidence that the olfactory bulb and prostate may experience oscillations when cultured, suggesting that these structures may also be weak oscillators.[citation needed]","['Where else beside the SCN cells are independent circadian rhythms also found?', 'What is the term for the independent clocks?', 'What is the SCN considered to be in comparison to the peripheral oscillators?', 'In what body gland are the peripheral oscillators located?', 'To what do oscillators in the skin respond?']","['organs and cells', 'peripheral oscillators', 'master clock', 'adrenal gland', 'light']"
169,"Elizabeth has held many titles and honorary military positions throughout the Commonwealth, is Sovereign of many orders in her own countries, and has received honours and awards from around the world. In each of her realms she has a distinct title that follows a similar formula: Queen of Jamaica and her other realms and territories in Jamaica, Queen of Australia and her other realms and territories in Australia, etc. In the Channel Islands and Isle of Man, which are Crown dependencies rather than separate realms, she is known as Duke of Normandy and Lord of Mann, respectively. Additional styles include Defender of the Faith and Duke of Lancaster. When in conversation with the Queen, the practice is to initially address her as Your Majesty and thereafter as Ma'am.","[""What feature do Elizabeth's titles usually follow in each country?"", 'What are the Channel Islands and the Isle of Mann?', ""What si Elizabeth's title in the Channel Islands?"", ""What is Elizabeth's title on the Isle of Mann?"", 'Once in conversation with the Queen, how is Elizabeth addressed?']","['similar formula', 'Crown dependencies', 'Duke of Normandy', 'Lord of Mann', ""Ma'am""]"
170,"Some historians and researchers argue that the emotional and affectionate activities associated with sexual-orientation terms such as ""gay"" and ""heterosexual"" change significantly over time and across cultural boundaries. For example, in many English-speaking nations, it is assumed that same-sex kissing, particularly between men, is a sign of homosexuality, whereas various types of same-sex kissing are common expressions of friendship in other nations. Also, many modern and historic cultures have formal ceremonies expressing long-term commitment between same-sex friends, even though homosexuality itself is taboo within the cultures.","['What do historians and researches argue about concerning the emotional and affectionate activities?', 'What can be assumed in english speaking nations when two men kiss?', 'What do some cultures have formal ceremonies for?']","['activities associated with sexual-orientation terms such as ""gay"" and ""heterosexual"" change significantly over time and across cultural boundaries.', 'is a sign of homosexuality', 'expressing long-term commitment between same-sex friends']"
